,제목,조회수,날짜,질문,답변
30,수원전세사기변호사와 경찰서 같이 가고 싶습니다,1618,2023.09.06,전세사기로 경찰에 신고당한 가해자입니다.다음주에 경찰서 가서 조사받아야 합니다.수원전세사기변호사 선임해서 같이 경찰서 가고 싶은데요혹시나 무죄를 주장할 수도 있는지도 궁금합니다.무죄 받을 수 있다고 하면 그렇게 할까 싶어서요.제가 무죄받을 수 있는지 도와줄 수 있는 수원전세사기변호사 있을까요?수원전세사기변호사분만 답변해주세요,"안녕하세요. 로시컴-네이버 지식iN 상담변호사 박영섭 입니다.전세사기는 사기죄에 해당되며(10년 이하의 징역 또는 2,000만 원 이하의 벌금)  해당 사건에서 무혐의를 주장하려면, 사기죄의 성립 요건을 면밀히 검토하여 자신의 행위가 이에 해당되지 않음을 입증하는 것이 중요합니다. 사기죄는 피해자를 기망하여 재물을 편취하는 범죄로, 행위자의 기망행위와 피해자의 착오, 재물 편취라는 객관적 결과가 모두 인정되어야 성립됩니다.이와 같은 성립 요건을 부인할 수 있는 증거들을 토대로 상세히 소명함으로써 사기죄 혐의를 부인할 수 있을 것입니다. 또한 피해자의 주장과 증거에 대한 반박, 선생님의 선의성 등을 종합적으로 검토하여 무혐의 입증을 해야 합니다.이처럼 선생님께서는 조사전에 형사 전문 변호사와 상담을 하여 경찰 조사 준비, 경찰 조사 동행 및 조력 등을 시작으로 적절하고 신속한 진행 및 대응 등을 조력 받는 것을 권해드립니다.**수원분사무소 직통 상담 031-895-6327**긴급상담 010-6322-4899(24시간 상담)**법무법인 파트원 수원분사무소 형사전문변호사 박영섭 변호사**"
31,인천전세사기변호사 상담 받고 싶어요,1464,2023.10.31,인천전세사기변호사 상담 원합니다. 지역은 인천이고 전세사기 당한 것 같습니다.. 계약만료일도 지났는데 주인이 보증금을 계속 안 돌려 주네요;; 갖은 핑계를 대면서 안 주고 있습니다.. 보니까 저 말고 피해자가 더 있는 것 같기도 합니다. 대출금도 같이 껴있어서 미치겠네요 인천전세사기변호사 선임해서 소송하면 될까요 답변 부탁드리겠습니다 ㅠㅠ,안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 손수연 변호사입니다.
32,인천전세사기변호사 상담 받고 싶어요,1464,2023.10.31,인천전세사기변호사 상담 원합니다. 지역은 인천이고 전세사기 당한 것 같습니다.. 계약만료일도 지났는데 주인이 보증금을 계속 안 돌려 주네요;; 갖은 핑계를 대면서 안 주고 있습니다.. 보니까 저 말고 피해자가 더 있는 것 같기도 합니다. 대출금도 같이 껴있어서 미치겠네요 인천전세사기변호사 선임해서 소송하면 될까요 답변 부탁드리겠습니다 ㅠㅠ,안녕하세요. 로시컴-네이버 지식iN 상담변호사 유성권 입니다. 보증금반환소송  사기고소를 고려해 볼 수 있습니다유사사건 진행경험 존재하며 전국법원사건  진행이 가능합니다전화로도 법률상담이 가능합니다
33,인천전세사기변호사 상담 받고 싶어요,1464,2023.10.31,인천전세사기변호사 상담 원합니다. 지역은 인천이고 전세사기 당한 것 같습니다.. 계약만료일도 지났는데 주인이 보증금을 계속 안 돌려 주네요;; 갖은 핑계를 대면서 안 주고 있습니다.. 보니까 저 말고 피해자가 더 있는 것 같기도 합니다. 대출금도 같이 껴있어서 미치겠네요 인천전세사기변호사 선임해서 소송하면 될까요 답변 부탁드리겠습니다 ㅠㅠ,안녕하세요. 로시컴-네이버 지식iN 상담변호사 신용훈 입니다.
34,인천전세사기변호사 상담 받고 싶어요,1464,2023.10.31,인천전세사기변호사 상담 원합니다. 지역은 인천이고 전세사기 당한 것 같습니다.. 계약만료일도 지났는데 주인이 보증금을 계속 안 돌려 주네요;; 갖은 핑계를 대면서 안 주고 있습니다.. 보니까 저 말고 피해자가 더 있는 것 같기도 합니다. 대출금도 같이 껴있어서 미치겠네요 인천전세사기변호사 선임해서 소송하면 될까요 답변 부탁드리겠습니다 ㅠㅠ,"안녕하세요! 법무법인(유한) 안팍 안주영 형사전문, 민사전문 변호사입니다.전세 보증금을 반환받지 못하는 경우전제 보증금 반환 청구 소송을 진행할 수 있습니다.전세 보증금을 반환받지 못하는 경우에사기죄가 성립되는 경우도 있고사기죄가 성립되지 않는 경우도 있습니다.상대방이 전세 보증금을 수령할 당시에기망행위를 했었는지 여부가 전세사기죄 성립 여부에 관건이 될 수 있습니다.전세 보증금을 반환받지 못하는 경우에그 사실관계가사기죄가 성립될 수 있는 사안이라면,사기죄로 형사고소를 진행할 수 있을 것입니다.질문의 사안이 어떤 사안인지 구체적인 법적 검토를 해서대응 전략 및 방안을 수립할 필요가 있습니다.전세사기 피해 사안의 초기부터어떻게 진행하고 대응하는지에 따라서형사처벌 여부나 수위,전세 보증금을 받을 수 있는지,합의 진행 여부나 그 내용 등이크게 달라질 수 있다는 것도 반드시 유념하십시오.전세사기 피해 사안에 전문성이 있고전세사기 피해 사안에 의뢰인 분을 위해 성심성의로 임하며의뢰인 분과 전세사기 피해 관련 사안으로소통이 원활한형사전문, 민사전문 변호사와구체적이고 심도 있는 상담과 상의를 하여개별적 사안 및 상황에 따른 최적의 진행 및 대응 전략과 방안을구체적으로 수립하시는 것을 권해 드립니다.보다 구체적인 내용과 함께구체적인 상담이 필요할 것으로 보여아래에 형사전문, 민사전문 변호사인 저의 연락처와 온라인 상담 신청 링크를 남겨드리니, 필요에 따라서 활용하실 수 있습니다.형사전문, 민사전문 변호사인 저에게 직통 상담 010-4250-9290(모바일에서 클릭시, 형사전문, 민사전문 변호사인 저에게 직통 상담 연결)- 부담없이 편하게 문의주십시오, 비밀보장<형사사건 홈페이지 온라인 상담 신청>(클릭하시면, 형사사건 홈페이지 온라인 상담 신청 연결)- 변호사 직접 검토, 비밀보장이상 안주영 형사전문, 민사전문 변호사였습니다."
35,인천전세사기변호사 상담 받고 싶어요,1464,2023.10.31,인천전세사기변호사 상담 원합니다. 지역은 인천이고 전세사기 당한 것 같습니다.. 계약만료일도 지났는데 주인이 보증금을 계속 안 돌려 주네요;; 갖은 핑계를 대면서 안 주고 있습니다.. 보니까 저 말고 피해자가 더 있는 것 같기도 합니다. 대출금도 같이 껴있어서 미치겠네요 인천전세사기변호사 선임해서 소송하면 될까요 답변 부탁드리겠습니다 ㅠㅠ,안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 이수학 변호사입니다.집주인이 보증금을 돌려주지 않아 전세보증금 반환에 어려움을 겪고 계신 상황이시네요. 전세사기사건에 연루되셨다면 임대인의 재산현황을 파악하고 현재 임대인이 보유하고 있는 재산에 대해 보전처분을 진행하는 방법이 있습니다. 만약 집단적으로 발생한 경우라면 집단소송을 진행하여 보증금반환청구소송 및 형사고소를 진행할 수 있습니다. 인천전세사기변호사의 도움을 받아 보증금을 신속히 반환 받을 수 있도록 법률조언을 받으시기를 바라겠습니다. ▼ 인천전세사기변호사와의 상담은 아래 블로그를 참고해주시길 바랍니다. ▼
36,대구전세사기 당했습니다..,2597,2024.04.15,"대구전세사기 도와주세요...뉴스에서만 봤는데, 저도 대구전세사기 당했습니다..대구전세사기 어떻게 해결해야 할까요..?막막합니다.",안녕하세요. 로시컴-네이버 지식iN 상담변호사 임선준 입니다.
37,대구전세사기 당했습니다..,2597,2024.04.15,"대구전세사기 도와주세요...뉴스에서만 봤는데, 저도 대구전세사기 당했습니다..대구전세사기 어떻게 해결해야 할까요..?막막합니다.","안녕하세요. 로시컴-네이버 지식iN 상담변호사 유성권 입니다.전세사기변호사 유성권 변호사입니다. 전세사기사건 진행경험 존재합니다. 대구관할 사건도 진행이 가능합니다. 전화로도 법률상담이 가능합니다. 전세사기의 경우ㅜ 사기로 고소, 전세보증금 반환소송등의 민사소송을 고려해볼 수 있습니다."
38,대구전세사기 당했습니다..,2597,2024.04.15,"대구전세사기 도와주세요...뉴스에서만 봤는데, 저도 대구전세사기 당했습니다..대구전세사기 어떻게 해결해야 할까요..?막막합니다.","최근 세입자들의 소중한 보증금을 떼어먹는 전세사기가 기승을 부리고 있어 세입자들의 각별한 주의가 필요한 상황입니다. 하지만 사기꾼들의 수법이 워낙 교묘하기 때문에 조심을 한다고 하더라도 눈 뜨고 코베이는 식으로 전세사기를 당하기 십상입니다. 전세사기는 수년간 그 수법이 진화되어 왔습니다. 전세사기에 대처하는 방법으로는 (1) 형사고소, (2) 보증금반환청구소송, (3) 채권추심/강제집행이 있습니다. 이 세 가지 절차가 유기적으로 진행되어야 전세사기 사건에서 피해를 회복할 수 있습니다. 공인중개사가 전세사기에 적극 가담했다면 (4) 공인중개사 및 중개사협회에 대한 손해배상청구도 생각해볼 수 있습니다. 전세보증보험을 가입하였다고 하더라도, 석연치 않은 이유들로 보증이행을 하지 않는 경우가 허다합니다. 보증보험회사의 입장에서도 세입자에게 보증채무를 이행한 뒤 집주인에게 구상권을 행사하여 보증금을 회수해야 하는데, 집주인으로부터 보증금회수가 불가능할 경우 이는 고스란히 보증보험회사의 손해로 귀속되기 때문입니다. 이 경우 보증금반환에 대한 부담은 고스란히 세입자가 부담하게 됩니다.최근 유행하는 갭투자 전세사기는 결국 갭투자 사기꾼이 남겨놓은 재산을 피해자들끼리 나눠먹기를 하는 형국으로 귀결되는 경우가 많습니다. 따라서 신속한 법적 조치를 취한 쪽이 그렇지 않은 쪽보다 유리할 수밖에 없습니다. 전세사기는 수년동안 그 형태가 진화해왔고, 그 수법이 사안마다 다르기 때문에 사안에 맞는 적절한 해결책을 찾기를 원하신다면 관련 자료를 지참해 전문 변호사와 상담을 진행해보시는 것이 좋습니다. 참고하실만한 글을 소개해드립니다. 부동산 전세사기 대응방법에 관해서는 아래 글을 참고하시면 도움이 되실 것입니다."
39,대구전세사기 당했습니다..,2597,2024.04.15,"대구전세사기 도와주세요...뉴스에서만 봤는데, 저도 대구전세사기 당했습니다..대구전세사기 어떻게 해결해야 할까요..?막막합니다.","안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 권진원 변호사입니다.질문자님 안녕하세요. 일단, 먼저 ""대구전세사기"" 신속하게 상담하실 수 있는 링크 올려드리겠습니다.대구전세사기는 소송을 통해서 해결을 빠르게 해야만 합니다. 재판을 하기 앞서, 정해진 기간 안에 전세금을 돌려주지 않을 경우 법률적으로 소를 제기하여 조치를 취할 것이라는 내용이 들어간 내용증명을 먼저 보내야 합니다. 내용증명은 법적인 효력을 띄지는 못합니다. 하지만, 이는 집주인들이 아무런 조치를 취하지 않아 재판을 하게 될 시에 중요한 증거로 활용이 된다는 것을 알고 계시길 바랍니다. 내용증명을 한 뒤에는 ""임차권등기명령""과 ""확정일자 부여 여부""를 확인해야만 합니다. 임차권등기명령을 신청을 하게 된다면 어쩔 수 없는 상황으로 질문자님이 이사를 가게 되어도 대항력과 우선 변제권이 유지가 될 겁니다. 이를 신청하지 않는다면, 집주인이 돈을 돌려주지 않는 상황에 이사를 간다면, 대항력과 우선 변제권이 유지가 되지 않는 다는 점을 명심하시길 바랍니다. 이처럼 대구전세금반환소송을 진행하기 전에 우선적으로 해야 하는 일들이 있습니다. 또한 소를 제기할 때도 다양한 법률적인 내용이 담긴 서류들이 필요합니다. 그렇기 때문에 전문 변호인의 조력을 받아 신속하고 편리하게 여러분들이 받아야 하는 당연한 돈을 돌려받길 바랍니다. 대구전세사기, 전문적인 상담을 먼저 시도해 보시길 바랍니다.▼상담이 필요하시다면▼"
40,대전전세사기변호사 선임해야 할 것 같아서요,1524,2023.11.23,대전에 살고 있는데 얼마 전에 터진 대전전세사기 당한 것 같습니다...그래서 지금 빨리 대전전세사기변호사 선임을 해야 할 것 같아서요.허그 가입도 되어있긴 한데 안심이 되지 않아서 대전전세사기변호사 선임해서 민사소송 걸고 싶습니다.민사소송을 걸어야 조금이라도 더 빠르게 보증금을 반환받을 수 있지 않을까 싶네요.대전전세사기변호사님 계시면 답변 부탁드립니다.,"안녕하세요. 법무법인 오현 소속으로 지식iN 법률상담을 진행하고 있는 유웅현 변호사입니다.대전에서 전세사기 사건을 다룬 경험이 있는 변호사를 찾는 것이 중요합니다. 여러 변호사 사무실에 연락하여 상담을 요청하세요. 사건의 경위를 설명하고, 변호사의 경험과 접근 방식을 확인하는 것이 중요합니다.변호사와 상담 후, 필요한 서류를 준비하여 민사소송을 진행할 수 있습니다. 소송을 통해 보증금 반환을 요청할 수 있습니다.전세 계약서, 입금 내역, 통화 기록 등 사건과 관련된 모든 증거를 모아두세요. 이는 소송 과정에서 매우 중요한 역할을 합니다.전세사기로 인한 스트레스가 클 수 있으므로, 필요하다면 상담사와의 상담을 통해 정서적 지지를 받는 것도 고려해 보세요.변호사와의 상담을 통해 귀하의 상황에 맞는 최선의 방법을 모색하시길 권장합니다. ✅ 수많은 사건 데이터를 바탕으로 의뢰인의 사안을 철저하게 분석하여 상담을 진행합니다.✅ 각 분야별 전문 변호사들이 질문자님에 상황에 맞춰 상담을 진행해드립니다.✅ 24시간 전국 상담 가능✅ 하단의 프로필을 통해 정확한 상담을 도움 받을 수 있습니다.✅ 1661 - 2661 유선 상담도 진행하고 있습니다."
41,대전전세사기변호사 선임해야 할 것 같아서요,1524,2023.11.23,대전에 살고 있는데 얼마 전에 터진 대전전세사기 당한 것 같습니다...그래서 지금 빨리 대전전세사기변호사 선임을 해야 할 것 같아서요.허그 가입도 되어있긴 한데 안심이 되지 않아서 대전전세사기변호사 선임해서 민사소송 걸고 싶습니다.민사소송을 걸어야 조금이라도 더 빠르게 보증금을 반환받을 수 있지 않을까 싶네요.대전전세사기변호사님 계시면 답변 부탁드립니다.,안녕하세요. 로시컴-네이버 지식iN 상담변호사 이하늘 입니다.
42,대전전세사기변호사 선임해야 할 것 같아서요,1524,2023.11.23,대전에 살고 있는데 얼마 전에 터진 대전전세사기 당한 것 같습니다...그래서 지금 빨리 대전전세사기변호사 선임을 해야 할 것 같아서요.허그 가입도 되어있긴 한데 안심이 되지 않아서 대전전세사기변호사 선임해서 민사소송 걸고 싶습니다.민사소송을 걸어야 조금이라도 더 빠르게 보증금을 반환받을 수 있지 않을까 싶네요.대전전세사기변호사님 계시면 답변 부탁드립니다.,안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 황인 변호사입니다.전세보증금사기를 당한 것이 사실이고 이에 대해서 돈을 돌려받고자 하는 과정 진행을 하실 수 있기도 합니다.이에 일단은 이러한 사기 행위를 벌인 상대방을 상대로 해 형사 고소를 한 후 그에 상응하는 처벌을 받도록 해야 합니다. 만약 이에 대해서 제대로 된 반환을 받지 못하게 된다고 하면 이와 관련한 법적 대응을 함으로서 당연히 내가 받을 수 있는 사안인지에 대해서도 검토를 해 보셔야만 합니다. 이에 무조건 언젠간은 돌려줄 것이라고 믿고 기다린다고 하면 이에 대해서는 결국 보증금 회수도 이루어지지 않은 채 상황만 악화가 될 수 있기도 하다는 점에서 이에 대해 대비를 해 주셔야만 합니다. 그러나 방어를 한다고 하더라도 이미 범죄로 이어진 상황이라고 한다면 반드시 전략을 세워서 조력을 해 줄 수 있는 과정을 도와줄 수 있는 변호사의 조력을 통해 해결을 하셔야 합니다. 해당 사안의 경우는 형사 고소와 민사상 손해배상청구 등이 동일하게 진행되는 사안이기 때문에 이에 대해서 적극적 대응을 한 번에 할 수 있도록 하는 조력을 받아서 준비를 해 보셔야만 합니다. 관련하여 더욱 자세한 내용을 원하신다면 아래 링크를 통해 확인하실 수 있습니다.
43,대전전세사기변호사 선임해야 할 것 같아서요,1524,2023.11.23,대전에 살고 있는데 얼마 전에 터진 대전전세사기 당한 것 같습니다...그래서 지금 빨리 대전전세사기변호사 선임을 해야 할 것 같아서요.허그 가입도 되어있긴 한데 안심이 되지 않아서 대전전세사기변호사 선임해서 민사소송 걸고 싶습니다.민사소송을 걸어야 조금이라도 더 빠르게 보증금을 반환받을 수 있지 않을까 싶네요.대전전세사기변호사님 계시면 답변 부탁드립니다.,"최근 세입자들의 소중한 보증금을 떼어먹는 전세사기가 기승을 부리고 있어 세입자들의 각별한 주의가 필요한 상황입니다. 하지만 사기꾼들의 수법이 워낙 교묘하기 때문에 조심을 한다고 하더라도 눈 뜨고 코베이는 식으로 전세사기를 당하기 십상입니다. 전세사기는 수년간 그 수법이 진화되어 왔습니다. 전세사기에 대처하는 방법으로는 (1) 형사고소, (2) 보증금반환청구소송, (3) 채권추심/강제집행이 있습니다. 이 세 가지 절차가 유기적으로 진행되어야 전세사기 사건에서 피해를 회복할 수 있습니다. 공인중개사가 전세사기에 적극 가담했다면 (4) 공인중개사 및 중개사협회에 대한 손해배상청구도 생각해볼 수 있습니다. 전세보증보험을 가입하였다고 하더라도, 석연치 않은 이유들로 보증이행을 하지 않는 경우가 허다합니다. 보증보험회사의 입장에서도 세입자에게 보증채무를 이행한 뒤 집주인에게 구상권을 행사하여 보증금을 회수해야 하는데, 집주인으로부터 보증금회수가 불가능할 경우 이는 고스란히 보증보험회사의 손해로 귀속되기 때문입니다. 이 경우 보증금반환에 대한 부담은 고스란히 세입자가 부담하게 됩니다.최근 유행하는 갭투자 전세사기는 결국 갭투자 사기꾼이 남겨놓은 재산을 피해자들끼리 나눠먹기를 하는 형국으로 귀결되는 경우가 많습니다. 따라서 신속한 법적 조치를 취한 쪽이 그렇지 않은 쪽보다 유리할 수밖에 없습니다. 전세사기는 수년동안 그 형태가 진화해왔고, 그 수법이 사안마다 다르기 때문에 사안에 맞는 적절한 해결책을 찾기를 원하신다면 관련 자료를 지참해 전문 변호사와 상담을 진행해보시는 것이 좋습니다. 참고하실만한 글을 소개해드립니다. 부동산 전세사기 대응방법에 관해서는 아래 글을 참고하시면 도움이 되실 것입니다."
44,구미사기변호사 전세문제 도와주세요.,590,2024.05.20,구미사기변호사 찾고 있습니다.지금 전세보증금 못 받고 있습니다.전세사기 의심되는 상황이에요… 어떡하죠구미사기변호사 조언이나 구미사기변호사 추천주시면너무나도 감사하겠습니다...,안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 김국일 변호사입니다.
45,구미사기변호사 전세문제 도와주세요.,590,2024.05.20,구미사기변호사 찾고 있습니다.지금 전세보증금 못 받고 있습니다.전세사기 의심되는 상황이에요… 어떡하죠구미사기변호사 조언이나 구미사기변호사 추천주시면너무나도 감사하겠습니다...,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 권진원 변호사입니다.질문자님, 글 작성해주신 [전세사기 법률 대응]관련하여 법무법인 테헤란 구미사기변호사가 답변 드립니다.오늘 글로 알려드리는 내용은 참고만 하시면 좋습니다.더욱 자세한 이야기는 테헤란 대구지사로직접 통화 연결하여 이야기 나눠보세요.전세보증금을 돌려받을 당시를 기준으로상대방이 보증금을 반환할 의사나 능력이 존재하지 않는다고 판단이 된다면,사기죄 등의 혐의로 고소가 가능한 점도 알려드립니다.돌려받지 못한 보증금에 대해서는 임대인을 대상으로구미사기변호사와 보증금반환소송이 당연히 가능하고요.구미사기변호사와의 추가적인 상담이 필요하시다면,테헤란 대구지사 전화 통해서 이야기 나눠 보시기를 바라며오늘 답변 마치도록 하겠습니다. 구미사기변호사였습니다.감사합니다."
46,구미사기변호사 전세문제 도와주세요.,590,2024.05.20,구미사기변호사 찾고 있습니다.지금 전세보증금 못 받고 있습니다.전세사기 의심되는 상황이에요… 어떡하죠구미사기변호사 조언이나 구미사기변호사 추천주시면너무나도 감사하겠습니다...,"안녕하세요. 지식iN 법률상담을 진행하고 있는 정진 변호사 입니다.상담전용회선은 02-3478-8815 입니다.변호사 선임은 전국 어디서나 가능합니다.저는 서초동 교대역 바로 앞 법무법인에 있는 올해 25년차 변호사입니다.상담부터 서류작성, 재판참석 모두 제가 직접 담당합니다.변호사 선임 시 변호사의 경력 및 주된 업무분야를 반드시 확인해야 합니다.상담 오시면 저희 사무실에 2시간 무료주차도 가능합니다."
47,전세사기특별법 관련 저같은 경우는 어떻게 되나요?,305,2024.08.23,저는 신탁전세 사기를 당하여 4년이 넘는 동안 보증금을 돌려받지도 못하고 결국 공매가 진행되고 낙찰이 되었는데 갓난 아이가 둘이나 있어서... 대출 받아 결국 낙찰자와 매매를 하면서1.7억 보증금보다 3천 만원 높은 2억에 매매했네요. 현상황에 전세사기특별법이 시행되면 신탁전세사기 피해자도 구제방안이 있는 걸로 알고 있는데 1억7천 보증금을 회수 할 수 있을지 궁금하네요. 법률적인 상담이라 지식인에 여쭤도 되는 건지 모르겠지만 너무 절망적이고 심신이 지친 상태라 이해 좀 부탁드리겠습니다.,안녕하세요. 로시컴-네이버 지식iN 상담변호사 임선준 입니다.
48,전세사기특별법 관련 저같은 경우는 어떻게 되나요?,305,2024.08.23,저는 신탁전세 사기를 당하여 4년이 넘는 동안 보증금을 돌려받지도 못하고 결국 공매가 진행되고 낙찰이 되었는데 갓난 아이가 둘이나 있어서... 대출 받아 결국 낙찰자와 매매를 하면서1.7억 보증금보다 3천 만원 높은 2억에 매매했네요. 현상황에 전세사기특별법이 시행되면 신탁전세사기 피해자도 구제방안이 있는 걸로 알고 있는데 1억7천 보증금을 회수 할 수 있을지 궁금하네요. 법률적인 상담이라 지식인에 여쭤도 되는 건지 모르겠지만 너무 절망적이고 심신이 지친 상태라 이해 좀 부탁드리겠습니다.,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 조창훈 변호사입니다.신탁전세사기 사건에서 피해를 입으셨다면, 현재 시행 중인 전세사기특별법을 통해 구제를 받을 수 있는 가능성이 있습니다. 신탁전세사기와 관련하여 피해자들이 보증금을 회수할 수 있는 방법은 다음과 같습니다.1. 특별법을 통한 보증금 반환 청구전세사기특별법에서는 전세사기 피해자들을 위한 다양한 구제 방안을 제공합니다. 신탁전세사기도 특별법의 적용을 받을 수 있습니다. 법률에 따라 주택도시보증공사(HUG)나 다른 관련 기관을 통해 보증금을 반환받을 수 있는 절차가 마련되어 있습니다. 이를 위해서는 우선 피해자로 등록해야 하며, 필요한 서류를 준비하여 관련 기관에 신청을 해야 합니다.2. 소송 및 법적 절차특별법 외에도, 민사소송 및 형사소송을 통해 보증금 반환을 청구할 수 있습니다. 이 경우, 변호사의 조력을 받아 소송을 준비하는 것이 좋습니다. 법적 판결에 따라 보증금을 회수할 수 있는 가능성이 있습니다.- 민사소송증거 수집계약서, 보증금 입금 내역, 신탁 관련 서류, 사기 행위에 대한 증거 등을 수집합니다.변호사 상담민사소송은 복잡한 절차가 수반되므로, 변호사의 조력을 받는 것이 좋습니다. 변호사는 소송 전략을 수립하고, 필요한 서류를 준비하는 데 도움을 줄 것입니다.소장 작성변호사의 도움을 받아 소장을 작성합니다. 소장에는 피고(사기꾼 또는 신탁회사)를 상대로 하는 청구 취지와 청구 원인, 손해배상 금액 등을 명시해야 합니다.- 형사소송고소장 작성변호사의 도움을 받아 경찰 또는 검찰에 제출할 고소장을 작성합니다. 고소장에는 피의자가 특정한 사기 행위를 저질렀음을 명확히 기술해야 합니다.고소 접수고소장은 관할 경찰서나 검찰청에 제출할 수 있습니다. 고소장이 접수되면 수사가 시작되고, 경찰이나 검찰이 고소 내용을 바탕으로 수사를 진행합니다. 이 과정에서 피해자는 참고인 조사를 받거나, 추가 증거를 제출할 수 있습니다.형사 재판검찰이 기소한 후, 형사 재판이 진행됩니다. 이 과정에서 사기 행위가 입증되면 피고인은 형사 처벌을 받게 됩니다. 법원이 피고인에 대해 유죄 판결을 내리면, 피고인은 형사적 책임을 지게 되며, 경우에 따라 피해자의 손해에 대해 배상 명령이 내려질 수 있습니다.법률 문제로 어려움을 겪고 계실 때, 신뢰할 수 있는 전문가의 조력은 큰 도움이 됩니다.저는 다수의 대기업, 연예인 등 유명인 사건과 개인 민/형사 사건에서의 성공 경험이 풍부합니다. 이런 풍부한 성공 경험을 토대로 늘 의뢰인 분들께 최선의 해결책을 찾아드리기 위해 노력하고 있습니다.어떤 문제든지 주저하지 마시고 상담 신청해 주십시오. 신속하고 정확한 상담으로 걱정을 덜어드리겠습니다."" 법률 상담 전화번호 010 - 4331 - 9478 "" https://blog.naver.com/lawyerjch"
49,전세사기특별법 관련 저같은 경우는 어떻게 되나요?,305,2024.08.23,저는 신탁전세 사기를 당하여 4년이 넘는 동안 보증금을 돌려받지도 못하고 결국 공매가 진행되고 낙찰이 되었는데 갓난 아이가 둘이나 있어서... 대출 받아 결국 낙찰자와 매매를 하면서1.7억 보증금보다 3천 만원 높은 2억에 매매했네요. 현상황에 전세사기특별법이 시행되면 신탁전세사기 피해자도 구제방안이 있는 걸로 알고 있는데 1억7천 보증금을 회수 할 수 있을지 궁금하네요. 법률적인 상담이라 지식인에 여쭤도 되는 건지 모르겠지만 너무 절망적이고 심신이 지친 상태라 이해 좀 부탁드리겠습니다.,"안녕하세요 ""법의 문턱을 낮게!"" Lawlow의 Funki 입니다.질문자님께서는 신탁전세 사기를 당하여 보증금을 돌려받지 못하고 낙찰자와 매매를 하면서 더 높은 금액에 매매한 상황에서 전세사기특별법이 시행되면 신탁전세사기 피해자도 구제방안이 있는지에 대해 물어보셨습니다. 그럼 지금부터 질문자님과 비슷한 상황에 대한 데이터를 400만건 이상의 문제 상황과 그에 따른 결론을 보유한 LawLow 자체 데이터 베이스 검색을 통해 같이 확인해보도록 하겠습니다. 다음과 같은 상황이 있었습니다!공통 상황 : 신탁전세 사기로 인해 보증금을 돌려받지 못하고 갓난아이가 있는 상황에서 추가 금액을 부담하게 되었습니다.결론 : 전세사기특별법 시행 후 신탁전세 사기 피해자에 대한 구제방안이 마련되었으며, 일정 조건을 충족할 경우 보증금 회수가 가능할 수 있습니다.사건번호 : 서울남부지방법원 2016고정843제가 드린 정보가 질문자님의 문제 해결에 도움이 되었길 바랍니다! # 해당 판례의 사건번호는 Lawlow에서 질문자님의 상황을 검색한 뒤 옮겨적은 정보입니다. # 이 과정에서 실수가 발생했을 수 있으니, 정확한 사건번호가 궁금하시다면 추가 질문을 남겨주시거나 프로필 링크를 방문해주세요."
